,ISO,Name,ChildMortality
1,AFG,Afghanistan,67.9
4,ALB,Albania,8.8
7,DZA,Algeria,24.0
10,AND,Andorra,3.3
13,AGO,Angola,81.1
16,ATG,Antigua and Barbuda,7.4
19,ARG,Argentina,10.4
22,ARM,Armenia,12.6
25,AUS,Australia,3.5
28,AUT,Austria,3.6
31,AZE,Azerbaijan,23.0
34,BHS,Bahamas,7.2
37,BHR,Bahrain,7.3
40,BGD,Bangladesh,32.4
43,BRB,Barbados,12.4
46,BLR,Belarus,3.7
49,BEL,Belgium,3.8
52,BLZ,Belize,14.2
55,BEN,Benin,98.3
58,BTN,Bhutan,30.8
61,BOL,Bolivia (Plurinational State of),34.9
64,BIH,Bosnia and Herzegovina,5.7
67,BWA,Botswana,37.6
70,BRA,Brazil,14.8
73,BRN,Brunei Darussalam,10.5
76,BGR,Bulgaria,7.5
79,BFA,Burkina Faso,81.2
82,BDI,Burundi,61.2
85,CIV,Cote d'Ivoire,88.8
88,CPV,Cabo Verde,17.4
91,KHM,Cambodia,29.2
94,CMR,Cameroon,84.0
97,CAN,Canada,5.1
100,CAF,Central African Republic,121.5
103,TCD,Chad,123.2
106,CHL,Chile,7.4
109,CHN,China,9.3
112,COL,Colombia,14.7
115,COM,Comoros,69.0
118,COG,Congo,47.5
121,COK,Cook Islands,7.6
124,CRI,Costa Rica,9.0
127,HRV,Croatia,4.6
130,CUB,Cuba,5.4
133,CYP,Cyprus,2.7
136,CZE,Czechia,3.3
139,PRK,Democratic People's Republic of Korea,19.0
142,COD,Democratic Republic of the Congo,91.1
145,DNK,Denmark,4.3
148,DJI,Djibouti,61.7
151,DMA,Dominica,34.0
154,DOM,Dominican Republic,29.9
157,ECU,Ecuador,14.5
160,EGY,Egypt,22.1
163,SLV,El Salvador,14.5
166,GNQ,Equatorial Guinea,89.6
169,ERI,Eritrea,43.1
172,EST,Estonia,2.7
175,SWZ,Eswatini,53.9
178,ETH,Ethiopia,58.5
181,FJI,Fiji,25.3
184,FIN,Finland,2.3
187,FRA,France,4.2
190,GAB,Gabon,48.3
193,GMB,Gambia,63.6
196,GEO,Georgia,10.8
199,DEU,Germany,3.7
202,GHA,Ghana,49.3
205,GRC,Greece,5.3
208,GRD,Grenada,16.7
211,GTM,Guatemala,27.6
214,GIN,Guinea,85.7
217,GNB,Guinea-Bissau,84.2
220,GUY,Guyana,31.3
223,HTI,Haiti,71.7
226,HND,Honduras,18.2
229,HUN,Hungary,4.5
232,ISL,Iceland,2.1
235,IND,India,39.4
238,IDN,Indonesia,25.4
241,IRN,Iran (Islamic Republic of),14.9
244,IRQ,Iraq,30.4
247,IRL,Ireland,3.5
